2011년 지정폐기물 발생량 (단위 : 톤/일),,,,,,
Category,2011,2012,2013,2014,2015,2016
서울,281.00,342.00,377.00,439.00,354.00,384.00
부산,735.00,900.00,784.00,736.00,775.00,747.00
대구,247.00,387.00,402.00,387.00,365.00,363.00
인천,763.00,823.00,832.00,842.00,879.00,831.00
광주,106.00,103.00,110.00,110.00,109.00,122.00
대전,133.00,145.00,149.00,154.00,179.00,186.00
울산,848.00,1163.00,1153.00,1181.00,1245.00,1362.00
세종,NaN,57.00,73.00,71.00,69.00,68.00
경기,1990.00,2894.00,2449.00,2749.00,2685.00,2858.00
강원,93.00,112.00,118.00,137.00,141.00,152.00
충북,452.00,526.00,646.00,719.00,773.00,829.00
충남,1016.00,1173.00,1314.00,1291.00,1370.00,1380.00
전북,463.00,423.00,521.00,584.00,588.00,626.00
전남,735.00,996.00,980.00,1016.00,978.00,1043.00
경북,1289.00,1466.00,1552.00,1770.00,1782.00,1756.00
경남,852.00,970.00,934.00,968.00,1090.00,1060.00
제주,18.00,21.00,24.00,25.00,28.00,27.00
