2011년 폐수발생량 (단위 : m³/일),,,,,,
Category,2011,2012,2013,2014,2015,2016
서울,113152.80,116134.00,95479.00,89908.80,89908.80,69821.40
부산,329288.40,291182.00,253905.00,146344.10,146344.10,126533.40
대구,224579.20,191307.00,190244.00,219892.60,219892.60,198060.30
인천,434897.00,315889.00,329309.00,339471.10,339471.10,134521.20
광주,34876.90,35506.00,33123.00,42095.70,42095.70,42439.20
대전,63085.50,64230.00,65928.00,48498.70,48498.70,68901.30
울산,416954.70,432149.00,427662.00,430539.90,430539.90,591738.50
세종,0.00,56133.00,52051.00,58384.60,58384.60,67039.30
경기,1081649.40,1133139.00,1050213.00,1027612.00,1027612.00,915203.30
강원,149043.70,131308.00,129341.00,183835.80,183835.80,218436.10
충북,278067.00,277435.00,289227.00,280998.70,280998.70,322073.10
충남,524125.10,591368.00,790887.00,698834.00,698834.00,481104.50
전북,269400.50,272504.00,264436.00,280232.20,280232.20,278227.70
전남,373491.90,392568.00,373072.00,370363.20,370363.20,371486.30
경북,750953.60,1139913.00,718089.00,593786.70,593786.70,512813.60
경남,217192.40,213020.00,227960.00,269076.70,269076.70,211108.30
제주,8074.60,8638.00,8282.00,9050.20,9050.20,11875.70
